Chapter,Section,Sub-Section,Block,Paragraph,Classifications,Compliance,CID,ControlText
"1. About information security","1.1. Understanding and using the NZISM","Risk management","The NZISM and Risk Management ",1.1.60.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Risk management","The NZISM and Risk Management ",1.1.61.,,,,
"1. About information security","1.1. Understanding and using the NZISM",References,,1.1.62.,,,,
"1. About information security","1.1. Understanding and using the NZISM",References,,1.1.63.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls",Non-compliance,1.1.64.R.01.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls",Non-compliance,1.1.64.R.02.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls",Non-compliance,1.1.64.R.03.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls",Non-compliance,1.1.64.C.01.,"All Classifications",Must,127,"System owners seeking a dispensation for non-compliance with any baseline controls in this manual MUST be granted a dispensation by their Accreditation Authority. Where High Assurance Cryptographic Systems (HACS) are implemented, the Accreditation Authority will be the Director-General GCSB or a formal delegate."
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls","Justification for non-compliance",1.1.65.R.01.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls","Justification for non-compliance",1.1.65.C.01.,"All Classifications",Must,131,"System owners seeking a dispensation for non-compliance with baseline controls MUST complete an agency risk assessment which documents:

the reason(s) for not being able to comply with this manual;
the effect on any of their own, multi-agency or All-of-Government system;
the alternative mitigation measure(s) to be implemented;
The strength and applicability of the alternative mitigations;
an assessment of the residual security risk(s); and
a date by which to review the decision."
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls","Consultation on non-compliance",1.1.66.R.01.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls","Consultation on non-compliance",1.1.66.R.02.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls","Consultation on non-compliance",1.1.66.R.03.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls","Consultation on non-compliance",1.1.66.C.01.,"All Classifications",Must,137,"If a system processes, stores or communicates classified information from another agency, that agency MUST be consulted before a decision to be non-compliant with the NZ Government Security Classification System is made."
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls","Consultation on non-compliance",1.1.66.C.02.,"All Classifications",Must,138,"If a system processes, stores or communicates classified information from a foreign government, that government MUST be consulted before a decision to be non-compliant with NZISM controls is made."
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls","All-of-Government Systems",1.1.67.R.01.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls","All-of-Government Systems",1.1.67.R.02.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls","All-of-Government Systems",1.1.67.R.03.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls","All-of-Government Systems",1.1.67.C.01.,"All Classifications",Must,143,"If a system processes, stores or communicates data and information with multiple agencies or forms part of an All-of-Government system, interested parties MUST be formally consulted before non-compliance with any baseline controls."
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls","Reviewing non-compliance",1.1.68.R.01.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls","Reviewing non-compliance",1.1.68.C.01.,"All Classifications",Should,146,"Agencies SHOULD review decisions to be non-compliant with any controls at least annually."
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls","Recording non-compliance",1.1.69.R.01.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls","Recording non-compliance",1.1.69.C.01.,"All Classifications",Must,151,"Agencies MUST retain a copy and maintain a record of the supporting risk assessment and decisions to be non-compliant with any baseline controls from this manual."
"1. About information security","1.1. Understanding and using the NZISM","Rationale & Controls","Recording non-compliance",1.1.69.C.02.,"All Classifications",Must,152,"Where good and recommended practice controls are NOT implemented, agencies MUST record and formally recognise that non-use of any controls without due consideration may increase residual risk for the agency. This residual risk MUST be agreed and acknowledged by the Accreditation Authority."
"1. About information security","1.2. Applicability, Authority and Compliance",Objective,,1.2.1.,,,,
"1. About information security","1.2. Applicability, Authority and Compliance",Context,Scope,1.2.2.,,,,
"1. About information security","1.2. Applicability, Authority and Compliance",Context,Applicability,1.2.3.,,,,
"1. About information security","1.2. Applicability, Authority and Compliance",Context,Authority,1.2.4.,,,,
"1. About information security","1.2. Applicability, Authority and Compliance",Context,Authority,1.2.5.,,,,
"1. About information security","1.2. Applicability, Authority and Compliance",Context,Authority,1.2.6.,,,,
"1. About information security","1.2. Applicability, Authority and Compliance",Context,Authority,1.2.7.,,,,
"1. About information security","1.2. Applicability, Authority and Compliance",Context,Authority,1.2.8.,,,,
"1. About information security","1.2. Applicability, Authority and Compliance",Context,Authority,1.2.9.,,,,
"1. About information security","1.2. Applicability, Authority and Compliance",Context,"Compliance by smaller agencies",1.2.10.,,,,
"1. About information security","1.2. Applicability, Authority and Compliance",Context,"Compliance by smaller agencies",1.2.11.,,,,
"1. About information security","1.2. Applicability, Authority and Compliance",Context,"Compliance by smaller agencies",1.2.10.,,,,
"1. About information security","1.2. Applicability, Authority and Compliance",Context,"Legislation and other government policy",1.2.13.,,,,
"1. About information security","1.2. Applicability, Authority and Compliance",Context,"Legislation and other government policy",1.2.14.,,,,
"1. About information security","1.2. Applicability, Authority and Compliance","Rationale & Controls",Compliance,1.2.15.R.01.,,,,
"1. About information security","1.2. Applicability, Authority and Compliance","Rationale & Controls",Compliance,1.2.15.R.02.,,,,
"1. About information security","1.2. Applicability, Authority and Compliance","Rationale & Controls",Compliance,1.2.15.C.01.,"All Classifications",Must,177,"Agencies undertaking system design activities for in-house or out-sourced projects MUST use the latest version of the NZISM for information security requirements."
"1. About information security","1.2. Applicability, Authority and Compliance","Rationale & Controls",Compliance,1.2.15.C.02.,"All Classifications",Must,178,"When GCSB makes a determination that newly introduced standard, policy or guideline within the NZISM, or any additional information security policy, is of particular importance, agencies MUST comply with any new specified requirements and implementation timeframes."
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Objective,,2.1.1.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,Scope,2.1.2.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government Communications Security Bureau",2.1.3.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government Communications Security Bureau",2.1.4.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government Communications Security Bureau",2.1.5.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government Communications Security Bureau",2.1.6.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"National Cyber Security Centre",2.1.7.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"National Cyber Security Centre",2.1.8.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"National Cyber Security Centre",2.1.9.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"National Cyber Security Centre",2.1.10.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"National Cyber Security Centre",2.1.11.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"National Cyber Security Centre",2.1.12.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"National Cyber Security Centre",2.1.13.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"National Cyber Security Centre",2.1.14.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"National Cyber Security Centre",2.1.15.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"New Zealand's Computer Emergency Response Team (CERT NZ)",2.1.16.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"New Zealand's Computer Emergency Response Team (CERT NZ)",2.1.17.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"New Zealand's Computer Emergency Response Team (CERT NZ)",2.1.18.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"New Zealand's Computer Emergency Response Team (CERT NZ)",2.1.19.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government Chief Information Security Officer",2.1.20.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government Chief Information Security Officer",2.1.21.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government Chief Information Security Officer",2.1.22.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government Chief Information Security Officer",2.1.23.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government Chief Information Security Officer",2.1.24.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government Chief Information Security Officer",2.1.25.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government Chief Information Security Officer",2.1.26.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government Chief Information Security Officer",2.1.27.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government System Leadership",2.1.28.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government System Leadership",2.1.29.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government System Leadership",2.1.30.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government System Leadership",2.1.31.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government System Leadership",2.1.32.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government System Leadership",2.1.33.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government System Leadership",2.1.34.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government System Leadership",2.1.35.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government System Leadership",2.1.36.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Government System Leadership",2.1.37.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Other government organisations",2.1.38.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Other government organisations",2.1.39.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Other government organisations",2.1.40.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Other government organisations",2.1.41.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Other government organisations",2.1.42.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Other government organisations",2.1.43.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Other government organisations",2.1.44.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Other government organisations",2.1.45.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Other government organisations",2.1.46.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",Context,"Other government organisations",2.1.47.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies",References,,2.1.48.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies","Rationale & Controls","Organisations providing information security services",2.1.49.R.01.,,,,
"2. Information Security Services within Government","2.1. Overview of Key Agencies","Rationale & Controls","Organisations providing information security services",2.1.49.C.01.,"All Classifications",Must,199,"Security personnel MUST familiarise themselves with the information security roles and services provided by New Zealand Government organisations."
"2. Information Security Services within Government","2.2. Non-Government Engagement and Outsourcing",Objective,,2.2.1.,,,,
"2. Information Security Services within Government","2.2. Non-Government Engagement and Outsourcing",Context,Scope,2.2.2.,,,,
"2. Information Security Services within Government","2.2. Non-Government Engagement and Outsourcing",Context,"Cloud computing",2.2.3.,,,,
"2. Information Security Services within Government","2.2. Non-Government Engagement and Outsourcing","PSR References",,2.2.4.,,,,
"2. Information Security Services within Government","2.2. Non-Government Engagement and Outsourcing","Rationale & Controls","Outsourcing information technology services and functions",2.2.5.R.01.,,,,
"2. Information Security Services within Government","2.2. Non-Government Engagement and Outsourcing","Rationale & Controls","Outsourcing information technology services and functions",2.2.5.R.02.,,,,
"2. Information Security Services within Government","2.2. Non-Government Engagement and Outsourcing","Rationale & Controls","Outsourcing information technology services and functions",2.2.5.R.03.,,,,
"2. Information Security Services within Government","2.2. Non-Government Engagement and Outsourcing","Rationale & Controls","Outsourcing information technology services and functions",2.2.5.R.04.,,,,
"2. Information Security Services within Government","2.2. Non-Government Engagement and Outsourcing","Rationale & Controls","Outsourcing information technology services and functions",2.2.5.C.01.,"All Classifications",Must,216,"Agencies engaging industry for the provision of off-site information technology services and functions MUST accredit the systems used by the contractor to at least the same minimum standard as the agency’s systems. This may be achieved through a third party review report utilising the ISAE 3402 Assurance Reports on Controls at a Third Party Service Organisation."
"2. Information Security Services within Government","2.2. Non-Government Engagement and Outsourcing","Rationale & Controls","Outsourcing information technology services and functions",2.2.5.C.02.,"All Classifications","Should Not",217,"Agencies SHOULD NOT engage industry for the provision of off-site information technology services and functions in countries that New Zealand does not have a multilateral or bilateral security agreement with for the protection of classified information of the government of New Zealand. If there is any doubt, the agency’s CISO should be consulted."
"2. Information Security Services within Government","2.2. Non-Government Engagement and Outsourcing","Rationale & Controls","Independence of ITSMs from outsourced companies",2.2.6.R.01.,,,,
"2. Information Security Services within Government","2.2. Non-Government Engagement and Outsourcing","Rationale & Controls","Independence of ITSMs from outsourced companies",2.2.6.R.02.,,,,
"2. Information Security Services within Government","2.2. Non-Government Engagement and Outsourcing","Rationale & Controls","Independence of ITSMs from outsourced companies",2.2.6.C.01.,"All Classifications",Should,221,"Where an agency has outsourced information technology services and functions, any ITSMs within the agency SHOULD be independent of the company providing the information technology services and functions."
"2. Information Security Services within Government","2.2. Non-Government Engagement and Outsourcing","Rationale & Controls","Independence of ITSMs from outsourced companies",2.2.6.C.02.,"All Classifications",Should,222,"Where an agency has outsourced information technology services and functions, they SHOULD ensure that the outsourced organisation provides a single point of contact within the organisation for all information assurance and security matters."
"2. Information Security Services within Government","2.2. Non-Government Engagement and Outsourcing","Rationale & Controls","Developing a contractor management program",2.2.7.R.01.,,,,
"2. Information Security Services within Government","2.2. Non-Government Engagement and Outsourcing","Rationale & Controls","Developing a contractor management program",2.2.7.C.01.,"All Classifications",Should,225,"Agencies SHOULD develop a program to manage contractors that have been accredited for the provision of off-site information technology services and functions."
"2. Information Security Services within Government","2.3. Using Cloud Services","Objective ",,2.3.1.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ","Scope ",2.3.2.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ","Scope ",2.3.3.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ","Scope ",2.3.4.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ","Scope ",2.3.5.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ","Mandates, Directives and Requirements ",2.3.6.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ","Mandates, Directives and Requirements ",2.3.7.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ","Mandates, Directives and Requirements ",2.3.8.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ","Mandates, Directives and Requirements ",2.3.9.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ","Mandates, Directives and Requirements ",2.3.10.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ","Mandates, Directives and Requirements ",2.3.11.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ",Background,2.3.12.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ",Background,2.3.13.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ",Background,2.3.14.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ",Background,2.3.15.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ",Background,2.3.16.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ",Background,2.3.17.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ","Information Security and Zero Trust",2.3.18.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ","Information Security and Zero Trust",2.3.19.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ","Information Security and Zero Trust",2.3.20.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ","Information Security and Zero Trust",2.3.21.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Context ","Information Security and Zero Trust",2.3.22.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services",References,,2.3.23.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","PSR References ",,2.3.24.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Cloud Adoption Strategy",2.3.25.R.01.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Cloud Adoption Strategy",2.3.25.R.02.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Cloud Adoption Strategy",2.3.25.R.03.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Cloud Adoption Strategy",2.3.25.R.04.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Cloud Adoption Strategy",2.3.25.C.01.,"All Classifications",Must,7045,"Agencies intending to adopt public cloud technologies or services MUST develop a plan for how they intend to use these services.  This plan can be standalone or part of an overarching ICT strategy."
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Cloud Adoption Strategy",2.3.25.C.02.,"All Classifications",Should,7046,"An agency’s cloud adoption plan SHOULD cover:

Outcomes and benefits that the adoption of cloud technologies will bring;
Risks introduced or mitigated through the use of cloud, and the agency’s risk tolerance;
Financial and cost accounting models;
Shared responsibility models;
Cloud deployment models;
Cloud security strategy;
Resilience and recovery approaches;
Data recovery on contract termination;
Cloud exit strategy and other contractual arrangements; and
A high level description of the foundation services that enable cloud adoption, including:

User, device and system identity;
Encryption and key management;
Information management;
Logging and alerting;
Incident management;
Managing privileged activities; and
Cost management."
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Zero Trust",2.3.26.R.01.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Zero Trust",2.3.26.R.02.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Zero Trust",2.3.26.C.01.,"All Classifications",Should,7049,"Agencies intending to adopt public cloud technologies or services SHOULD incorporate Zero Trust philosophies and concepts."
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Zero Trust",2.3.26.C.02.,"All Classifications",Should,7050,"Agencies SHOULD leverage public cloud environment native security services as part of legacy system migrations, in preference to recreating application architectures that rely on legacy perimeter controls for security."
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Risk Assessment",2.3.27.R.01.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Risk Assessment",2.3.27.C.01.,"All Classifications",Must,255,"Agencies intending to adopt cloud technologies or services MUST conduct a comprehensive risk assessment, in accordance with the guidance provided by the Government Chief Digital Officer (GCDO) before implementation or adoption."
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Risk Assessment",2.3.27.C.02.,"All Classifications",Must,256,"Agencies MUST ensure cloud risks for any cloud service adopted are identified, understood and formally accepted by the Agency Head or Chief Executive and the agency’s Accreditation Authority."
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Security Architecture",2.3.28.R.01.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Security Architecture",2.3.28.C.01.,"All Classifications",Should,259,"Agencies intending to adopt cloud services SHOULD review and enhance existing security architectures and systems design to prudently manage the changed risk, technology and security environment in adopting cloud services."
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Selection of Services",2.3.29.R.01.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","Selection of Services",2.3.29.C.01.,"All Classifications",Must,4935,"Agencies MUST consider the use of any All of Government contracts with cloud service providers before negotiating individual contracts."
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","System Decommissioning and Contract Termination",2.3.30.R.01.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","System Decommissioning and Contract Termination",2.3.30.R.02.,,,,
"2. Information Security Services within Government","2.3. Using Cloud Services","Rationale & Controls ","System Decommissioning and Contract Termination",2.3.30.C.01.,"All Classifications",Should,263,"Agency system architectures and supply arrangements and contracts SHOULD include provision for the safe return of agency data in the event of system or service termination or contract termination."
"2. Information Security Services within Government","2.4. Preparation for Post-Quantum Cryptography",Objective,,2.4.1.,,,,
"2. Information Security Services within Government","2.4. Preparation for Post-Quantum Cryptography",Context,Scope,2.4.2.,,,,
"2. Information Security Services within Government","2.4. Preparation for Post-Quantum Cryptography",Context,Background,2.4.3.,,,,
"2. Information Security Services within Government","2.4. Preparation for Post-Quantum Cryptography",Context,Background,2.4.4.,,,,
"2. Information Security Services within Government","2.4. Preparation for Post-Quantum Cryptography",Context,Background,2.4.5.,,,,
"2. Information Security Services within Government","2.4. Preparation for Post-Quantum Cryptography",Context,Background,2.4.6.,,,,
"2. Information Security Services within Government","2.4. Preparation for Post-Quantum Cryptography",Context,Background,2.4.7.,,,,
"2. Information Security Services within Government","2.4. Preparation for Post-Quantum Cryptography",Context,Background,2.4.8.,,,,
"2. Information Security Services within Government","2.4. Preparation for Post-Quantum Cryptography",Context,"Post-Quantum Cryptographic Standards",2.4.9.,,,,
